City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Waipawa,-41.4122,175.5153,63.01,63,2,4.0,NZ,1651722954
Bilma,18.6853,12.9164,85.86,16,84,9.19,NE,1651722954
Mbigou,-1.9005,11.906,68.95,100,100,2.19,GA,1651722955
São Filipe,14.8961,-24.4956,71.55,81,7,2.71,CV,1651722838
Cochrane,51.1834,-114.4687,57.47,48,100,8.05,CA,1651722955
Oodweyne,9.4092,45.064,74.89,65,16,4.27,SO,1651722955
Te Anau,-45.4167,167.7167,62.58,63,29,4.7,NZ,1651722956
Boyolangu,-8.1181,111.8935,83.5,77,96,7.16,ID,1651722956
Sokol,59.4617,40.1206,32.36,62,19,6.85,RU,1651722957
Dunedin,-45.8742,170.5036,57.79,81,12,8.01,NZ,1651722957
Pasuruan,-7.6453,112.9075,87.69,65,97,3.56,ID,1651722957
Palmer,42.1584,-72.3287,53.15,89,0,0.0,US,1651722958
Souillac,-20.5167,57.5167,77.38,83,40,14.97,MU,1651722958
Jumla,29.2747,82.1838,65.68,50,24,6.96,NP,1651722959
Gijang,35.2442,129.2139,71.33,47,0,12.48,KR,1651722630
Faanui,-16.4833,-151.75,81.77,75,28,8.59,PF,1651722959
Comodoro Rivadavia,-45.8667,-67.5,53.46,40,0,23.02,AR,1651722960
Douentza,14.9951,-2.9517,86.72,13,63,4.36,ML,1651722960
Clyde River,70.4692,-68.5914,23.23,74,100,12.66,CA,1651722960
West Bay,19.3667,-81.4167,82.47,82,20,13.8,KY,1651722961
Vista Hermosa,19.5167,-99.2167,72.39,29,100,1.41,MX,1651722961
Charters Towers,-20.1,146.2667,85.96,40,4,2.59,AU,1651722962
Kumul,42.8,93.45,85.06,18,100,8.23,CN,1651722962
Turiaçu,-1.6633,-45.3717,74.43,94,99,2.75,BR,1651722963
Turaif,31.6725,38.6637,53.85,94,0,16.11,SA,1651722963
Vila Franca do Campo,37.7167,-25.4333,63.01,78,100,7.07,PT,1651722964
Ha Tinh,18.3333,105.9,79.95,54,5,4.5,VN,1651722964
Santa Isabel Rio Negro,-0.4139,-65.0192,72.45,98,100,1.66,BR,1651722965
Caucaia,-3.7361,-38.6531,75.15,84,0,2.3,BR,1651722965
Pinega,64.7001,43.3936,31.28,78,100,11.32,RU,1651722965
College,64.8569,-147.8028,55.38,35,75,10.36,US,1651722966
Byron Bay,-28.65,153.6167,81.95,70,35,10.89,AU,1651722966
Fagersta,60.0042,15.7932,41.99,74,55,6.64,SE,1651722967
Nemuro,43.3236,145.575,40.06,80,7,11.9,JP,1651722967
Salalah,17.0151,54.0924,84.22,67,1,3.15,OM,1651722967
Thal,35.4791,72.2439,61.3,51,0,2.98,PK,1651722970
Ivaiporã,-24.2478,-51.6847,50.88,98,28,2.13,BR,1651722971
Sørland,67.667,12.6934,38.89,94,100,28.34,NO,1651722971
Saint-Paul,-21.0096,55.2707,76.35,75,14,1.57,RE,1651722728
Garchitorena,13.8804,123.6946,86.29,66,33,6.55,PH,1651722972
Flin Flon,54.7682,-101.865,32.27,98,100,7.0,CA,1651722972
Marrakesh,31.6315,-8.0083,59.07,72,0,2.3,MA,1651722973
Mandalgovi,45.7625,106.2708,44.62,27,51,27.76,MN,1651722973
Cidreira,-30.1811,-50.2056,65.53,71,97,11.65,BR,1651722973
Aykhal,66.0,111.5,27.84,73,99,12.37,RU,1651722974
Safi,32.2994,-9.2372,59.86,90,0,10.89,MA,1651722974
Khokhlovo,59.1492,37.3998,33.82,67,64,5.5,RU,1651722975
Teguise,29.0605,-13.564,61.02,72,75,11.5,ES,1651722975
Nelson Bay,-32.7167,152.15,75.0,73,28,1.99,AU,1651722976
Kindu,-2.95,25.95,70.39,94,90,1.9,CD,1651722976
Dzilam González,21.2833,-88.9333,79.84,72,59,8.37,MX,1651722976
Wilmington,34.2257,-77.9447,73.0,78,100,3.0,US,1651722957
Twin Falls,42.3505,-114.6445,49.93,50,31,5.26,US,1651722977
Hakkâri Province,37.5833,44.1667,51.53,58,58,4.74,TR,1651722977
Jizan,17.3333,42.6667,86.94,46,3,1.5,SA,1651722978
Shimoda,34.6667,138.95,75.11,62,100,9.64,JP,1651722978
Seoul,37.5683,126.9778,76.39,37,0,10.36,KR,1651722912
Ust'-Koksa,50.2696,85.6108,56.89,52,97,3.74,RU,1651722979
Nouakchott,18.0858,-15.9785,69.73,74,4,13.09,MR,1651722979
Xinan,26.72,119.8556,69.62,61,100,3.58,CN,1651722979
Nome,64.5011,-165.4064,40.15,75,0,6.91,US,1651722980
Sangamner,19.5667,74.2167,91.0,20,0,13.33,IN,1651722980
Zyryanovsk,49.7386,84.2719,60.51,52,96,3.2,KZ,1651722981
Charagua,-19.8,-63.2167,52.36,60,0,2.75,BO,1651722981
Krasnyy Chikoy,50.3643,108.7512,44.42,37,62,15.7,RU,1651722981
Monrovia,6.3005,-10.7969,79.88,82,55,1.1,LR,1651722982
Sur,22.5667,59.5289,85.98,48,0,8.01,OM,1651722982
Remanso,-9.6179,-42.0831,77.74,68,100,6.85,BR,1651722983
Ponta Delgada,37.7333,-25.6667,63.32,77,75,11.5,PT,1651722635
Linhares,-19.3911,-40.0722,72.46,97,10,4.16,BR,1651722983
Laguna,38.421,-121.4238,80.89,38,0,10.36,US,1651722646
Saint Anthony,45.0205,-93.218,57.13,55,0,4.61,US,1651722883
Pangody,65.85,74.4859,31.08,88,100,14.2,RU,1651722984
Zhezkazgan,47.8043,67.7144,49.98,93,40,6.71,KZ,1651722984
Ishigaki,24.3448,124.1572,75.33,100,75,13.8,JP,1651722985
Lazurne,46.084,32.5295,52.0,67,77,19.64,UA,1651722985
Cabo San Lucas,22.8909,-109.9124,72.61,66,5,13.53,MX,1651722986
Palana,59.1167,159.9667,29.71,84,96,11.25,RU,1651722644
Urucará,-2.5364,-57.76,72.81,98,89,1.3,BR,1651722986
Tshikapa,-6.4167,20.8,69.87,84,96,2.46,CD,1651722987
Tiznit Province,29.5833,-9.5,55.58,85,21,1.3,MA,1651722987
Herat Province,34.5,62.0,71.35,38,0,1.99,AF,1651722988
Dubrovnik,42.6481,18.0922,53.24,87,20,5.75,HR,1651722988
Sumter,28.7086,-82.0831,76.95,82,1,0.78,US,1651722989
Acaraú,-2.8856,-40.12,77.16,88,100,9.91,BR,1651722989
Orbetello,42.4408,11.2196,54.48,81,96,4.38,IT,1651722989
Contamana,-7.3333,-75.0167,71.42,99,75,2.68,PE,1651722990
Keuruu,62.2667,24.7,35.8,67,100,5.53,FI,1651722990
Corabia,43.7833,24.5,45.18,82,36,3.18,RO,1651722991
Hobyo,5.3505,48.5268,84.06,68,69,14.23,SO,1651722991
Urgut,39.4022,67.2431,65.82,55,24,2.91,UZ,1651722992
Ihosy,-22.4,46.1167,59.79,88,74,7.52,MG,1651722992
Tame,6.461,-71.73,79.14,57,83,5.88,CO,1651722992
Mount Gambier,-37.8333,140.7667,48.11,100,75,4.61,AU,1651722993
Philadelphia,39.9523,-75.1638,64.2,89,100,6.91,US,1651722821
Radcliff,37.8404,-85.9491,58.98,77,100,6.91,US,1651722993
La Palma,33.8464,-118.0467,75.9,76,0,6.91,US,1651722994
Tegul'det,57.3064,88.1667,50.29,34,30,8.48,RU,1651722994
Bereda,43.2686,-7.5406,47.57,94,97,4.32,ES,1651722994
Vung Tau,10.346,107.0843,84.63,74,80,12.41,VN,1651722995
Syracuse,37.0881,15.2792,56.32,75,24,1.92,IT,1651722860
Krapivinskiy,54.9992,86.8133,49.6,35,100,2.98,RU,1651722995
Lisala,2.15,21.5167,70.75,88,95,1.03,CD,1651722996
Wagar,16.1525,36.2032,88.0,31,10,11.43,SD,1651722996
Carnduff,49.1667,-101.8009,49.37,66,14,7.61,CA,1651722997
Kosonsoy,41.2561,71.5508,61.36,82,100,5.79,UZ,1651722997
Sisimiut,66.9395,-53.6735,15.22,84,15,6.2,GL,1651722997
Bhindār,24.5,74.1833,91.65,21,0,4.72,IN,1651722998
Mirpur Sakro,24.5474,67.6277,86.22,56,0,11.34,PK,1651722998
Saint-Joseph,-21.3667,55.6167,71.98,80,22,15.55,RE,1651722999
Pacific Grove,36.6177,-121.9166,53.71,90,75,10.36,US,1651722720
Polson,47.6936,-114.1632,57.22,67,98,3.0,US,1651722999
Kushima,31.4583,131.2333,73.15,56,100,10.4,JP,1651722999
Arman',59.7,150.1667,41.02,75,13,6.15,RU,1651723000
Yurty,56.0498,97.6348,48.09,36,4,9.15,RU,1651723000
Praia da Vitória,38.7333,-27.0667,62.76,94,40,12.66,PT,1651723001
Guymon,36.6828,-101.4816,50.0,87,100,21.85,US,1651723001
Koslan,63.4564,48.8989,29.61,68,41,8.16,RU,1651723002
Maniitsoq,65.4167,-52.9,14.41,80,22,7.76,GL,1651723002
Bundaberg,-24.85,152.35,81.21,72,40,8.05,AU,1651723002
Alberton,46.8168,-64.0654,44.73,95,100,13.58,CA,1651723003
Leh,34.1667,77.5833,47.3,54,97,4.94,IN,1651723003
Krasnogorodskoye,56.8357,28.2822,37.08,55,100,3.8,RU,1651723004
Bagdarin,54.4333,113.6,36.86,23,95,11.27,RU,1651723004
General Roca,-39.0333,-67.5833,58.77,41,72,3.71,AR,1651723005
Westport,41.1415,-73.3579,59.09,92,64,6.42,US,1651722813
Bud,39.447,-86.1758,57.67,85,100,6.53,US,1651722622
Outjo,-20.1167,16.15,53.8,41,0,9.78,NA,1651723005
Lompoc,34.6391,-120.4579,62.74,92,100,9.22,US,1651722765
Pytalovo,57.0679,27.9138,37.2,55,100,3.74,RU,1651723006
Tiarei,-17.5333,-149.3333,82.42,78,27,11.45,PF,1651722620
Oktyabr'skoye,43.0645,44.7417,50.14,93,96,0.0,RU,1651723006
Sergiyev Posad,56.3,38.1333,32.92,66,14,7.92,RU,1651723007
Pedernales,18.0384,-71.744,79.25,73,62,4.54,DO,1651723007
Lewiston,44.1003,-70.2148,49.24,98,100,4.61,US,1651723007
Liliani,32.2065,72.9537,90.27,27,0,4.41,PK,1651723008
Itacaré,-14.2775,-38.9967,75.65,90,6,4.83,BR,1651723008
Katsuura,35.1333,140.3,69.82,71,100,13.65,JP,1651723009
Negombo,7.2083,79.8358,82.45,89,40,4.61,LK,1651723009
Sambava,-14.2667,50.1667,74.84,77,40,11.61,MG,1651723009
Adjumani,3.3779,31.7909,66.04,96,90,0.63,UG,1651723010
Basoko,1.2391,23.616,72.54,87,100,2.75,CD,1651723010
Coahuayana Viejo,18.7333,-103.6833,71.96,84,78,1.54,MX,1651723011
Danville,36.586,-79.395,70.36,89,41,1.99,US,1651722914
Kaeo,-35.1,173.7833,68.32,76,23,10.31,NZ,1651723011
Vestmannaeyjar,63.4427,-20.2734,39.51,65,100,4.27,IS,1651723012
Troitskoye,52.9821,84.6757,51.24,34,98,6.02,RU,1651723012
Tuatapere,-46.1333,167.6833,64.17,70,90,5.3,NZ,1651723012
Pitelino,54.5777,41.8145,36.27,68,13,11.88,RU,1651723013
Milak,28.6167,79.1833,93.16,27,16,0.6,IN,1651723013
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,51.31,92,0,4.07,AR,1651723013
Ilulissat,69.2167,-51.1,2.39,95,64,6.46,GL,1651723014
Pingliang,35.5392,106.6861,82.18,24,7,5.68,CN,1651723014
White Rock,49.0164,-122.8026,54.73,92,100,5.01,CA,1651723015
Kafanchan,9.5833,8.3,69.96,80,99,1.97,NG,1651723015
Atid,46.45,25.05,43.34,90,99,3.42,RO,1651723015
Bitung,1.4451,125.1824,92.25,72,45,4.56,ID,1651723016
San Fernando del Valle de Catamarca,-28.4696,-65.7852,62.78,53,4,8.1,AR,1651723016
Wajima,37.4,136.9,77.68,33,0,6.91,JP,1651723017
Rawson,-43.3002,-65.1023,61.25,58,78,10.67,AR,1651723017
Acapulco de Juárez,16.8634,-99.8901,79.07,67,89,5.68,MX,1651723018
San Rafael,-34.6177,-68.3301,59.58,36,100,8.14,AR,1651723018
Kalamazoo,42.2506,-85.55,46.65,89,83,5.26,US,1651722975
Hay River,60.8156,-115.7999,44.58,81,40,1.14,CA,1651722826
Glenwood Springs,39.5505,-107.3248,41.67,72,100,0.0,US,1651722942
Kysyl-Syr,63.8986,122.7617,34.52,74,100,7.58,RU,1651723019
Lerik,38.7726,48.4128,50.72,81,3,3.18,AZ,1651723019
De Aar,-30.6497,24.0123,57.27,44,6,3.29,ZA,1651723019
Alofi,-19.0595,-169.9187,80.49,69,40,6.91,NU,1651723020
NEDJO,9.5046,35.5019,60.33,89,27,2.93,ET,1651723020
São Pedro,-22.5486,-47.9139,51.94,90,0,5.19,BR,1651723020
Kavaratti,10.5669,72.642,84.22,76,100,13.67,IN,1651723021
Copiapó,-27.3667,-70.3333,55.09,74,54,1.01,CL,1651723021
Koumac,-20.5667,164.2833,79.0,77,58,7.61,NC,1651723022
Berezovyy,51.6667,135.7,49.91,77,100,2.39,RU,1651723022
Berlevåg,70.8578,29.0864,24.8,69,92,7.78,NO,1651723023
Teeli,51.0333,90.2333,41.32,34,100,3.02,RU,1651723023
Mildura,-34.2,142.15,53.56,66,75,8.05,AU,1651723024
